TemplateType=clothing,Version=2017.0519,上3行は Amazon.com 記入用です。上3行は変更または削除しないでください。.,,,,,,,,出品情報-商品をサイト上で販売可能にする際に必要な項目,,,,,,,,,,,,,,,,,,,,,,,寸法-商品のサイズや重量を入力する項目,,商品検索情報-サーチ上で商品を検索されやすくするために必要な項目,,,,,,,,,画像-商品画像を表示させるために必要な項目。詳しくは画像説明タブを参照,,,,,,,,,,出荷関連情報-フルフィルメント by Amazon (FBA) の利用、あるいは自社出荷の注文に関する出荷関連情報を、この項目に記入してください。FBA を利用する場合には必須の項目。,,,,,,,バリエーション-商品の色・サイズなどのバリエーションを作成する際に必須の項目,,,,ProductTypeによって必須となる項目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出品者SKU,商品名,商品コード(JANコード等),商品コードのタイプ,ブランド名,商品タイプ,メーカー型番,商品説明文,アップデート・削除,自社で管理しているSKUごとの番号,在庫数,出荷作業日数,商品のコンディション,商品のコンディション説明,商品の販売価格,ポイント,商品の公開日,予約商品の販売開始日,メーカー希望価格,使用しない支払い方法,配送日時指定SKUリスト,セール価格,セール時ポイント,セール開始日,セール終了日,商品の入荷予定日,最大注文個数,ギフトメッセージ,ギフト包装,メーカー製造中止,配送パターン,販売形態(並行輸入品),商品タックスコード,配送重量の単位,配送重量,商品説明の箇条書き1,商品説明の箇条書き2,商品説明の箇条書き3,商品説明の箇条書き4,商品説明の箇条書き5,検索キーワード,推奨ブラウズノード,スタイルキーワード,コート・ワンピース・チュニック着丈,商品メイン画像URL,カラーサンプル画像URL,商品のサブ画像URL1,商品のサブ画像URL2,商品のサブ画像URL3,商品のサブ画像URL4,商品のサブ画像URL5,商品のサブ画像URL6,商品のサブ画像URL7,商品のサブ画像URL8,商品パッケージの長さの単位,商品パッケージの長さ,商品パッケージの幅,商品パッケージの高さ,商品パッケージの重量の単位,商品パッケージの重量,フルフィルメントセンターID,親子関係の指定,親商品のSKU(商品管理番号),親子関係のタイプ,バリエーションテーマ,サイズ,サイズマップ,カラー,カラーマップ,スタイル名,靴の幅,ストラップのタイプ,つま先の形状(トゥシェープ),ウエストのスタイル,素材不透明度,ヒールのタイプ,シャフト(軸)の丈,表地素材,袖のタイプ,留め具のタイプ,ライフスタイル1,ライフスタイル2,素材または繊維,対象年齢・性別,アダルト商品,ウエストサイズの単位,ウエストサイズ,仕立ての長さの単位,仕立ての長さ,袖の長さの単位,袖の長さ,シャツカラースタイル,首のタイプ,首のサイズの単位,首のサイズ,ボトムススタイル,胸囲サイズの単位,胸囲サイズ,モデル年(発売年・発表年),シーズン,収納可能サイズ,カップサイズ
item_sku,item_name,external_product_id,external_product_id_type,brand_name,product_subtype,part_number,product_description,update_delete,codabar,quantity,fulfillment_latency,condition_type,condition_note,standard_price,standard_price_points,product_site_launch_date,merchant_release_date,list_price,optional_payment_type_exclusion,delivery_schedule_group_id,sale_price,sale_price_points,sale_from_date,sale_end_date,restock_date,max_order_quantity,offering_can_be_gift_messaged,offering_can_be_giftwrapped,is_discontinued_by_manufacturer,merchant_shipping_group_name,distribution_designation,product_tax_code,website_shipping_weight_unit_of_measure,website_shipping_weight,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,recommended_browse_nodes,style_keywords,specific_uses_keywords,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,other_image_url4,other_image_url5,other_image_url6,other_image_url7,other_image_url8,package_length_unit_of_measure,package_length,package_width,package_height,package_weight_unit_of_measure,package_weight,fulfillment_center_id,parent_child,parent_sku,relationship_type,variation_theme,size_name,size_map,color_name,color_map,style_name,shoe_width,strap_type,toe_shape,waist_style,opacity,heel_type,shaft_height,outer_material_type,sleeve_type,closure_type,lifestyle1,lifestyle2,fabric_type,department_name,is_adult_product,waist_size_unit_of_measure,waist_size,inseam_length_unit_of_measure,inseam_length,sleeve_length_unit_of_measure,sleeve_length,collar_style,neck_style,neck_size_unit_of_measure,neck_size,bottom_style,chest_size_unit_of_measure,chest_size,model_year,seasons,fit_to_size_description,cup_size
5411000Red, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red,,18,新品,,,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Parent,,,Size,,,,,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
5411000Red7, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red7,10,18,新品,,18327,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,5411000Red,Variation,Size,サイズ  25cm (US 7),25cm,Red,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
5411000Red7.5, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red7.5,10,18,新品,,18327,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,5411000Red,Variation,Size,サイズ  25.5cm (US 7.5),25.5cm,Red,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
5411000Red8, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red8,10,18,新品,,18327,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,5411000Red,Variation,Size,サイズ  26cm (US 8),26cm,Red,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
5411000Red8.5, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red8.5,10,18,新品,,18327,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,5411000Red,Variation,Size,サイズ  26.5cm (US 8.5),26.5cm,Red,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
5411000Red9, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red9,10,18,新品,,18327,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,5411000Red,Variation,Size,サイズ  27cm (US 9),27cm,Red,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
5411000Red10, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red10,10,18,新品,,18327,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,5411000Red,Variation,Size,サイズ  28cm (US 10),28cm,Red,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
5411000Red10.5, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red10.5,10,18,新品,,18327,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,5411000Red,Variation,Size,サイズ  28.5cm (US 10.5),28.5cm,Red,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
5411000Red11, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red11,10,18,新品,,18327,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,5411000Red,Variation,Size,サイズ  29cm (US 11),29cm,Red,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
5411000Red11.5, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red11.5,10,18,新品,,18327,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,5411000Red,Variation,Size,サイズ  29.5cm (US 11.5),29.5cm,Red,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
5411000Red12, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red12,10,18,新品,,18327,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,5411000Red,Variation,Size,サイズ  30cm (US 12),30cm,Red,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
5411000Red12.5, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red12.5,10,18,新品,,18327,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,5411000Red,Variation,Size,サイズ  30.5cm (US 12.5),30.5cm,Red,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
5411000Red13, (ミズノ) Mizuno Dominant IC メンズ ベースボールシューズ,,,Mizuno,Shoes,5411000,,,5411000Red13,10,18,新品,,18327,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,5411000Red,Variation,Size,サイズ  31cm (US 13),31cm,Red,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
40401258Royal,(ニューバランス) New Balance 4040V4 Metal Low メンズ ベースボールシューズ,,,New Balance,Shoes,40401258,,,40401258Royal,,18,新品,,,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Parent,,,Size,,,,,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
40401258Royal5,(ニューバランス) New Balance 4040V4 Metal Low メンズ ベースボールシューズ,,,New Balance,Shoes,40401258,,,40401258Royal5,10,18,新品,,19662,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,40401258Royal,Variation,Size,サイズ  24cm (US 5),24cm,Royal,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
40401258Royal6,(ニューバランス) New Balance 4040V4 Metal Low メンズ ベースボールシューズ,,,New Balance,Shoes,40401258,,,40401258Royal6,10,18,新品,,19662,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,40401258Royal,Variation,Size,サイズ  24cm (US 6),24cm,Royal,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,
40401258Royal6.5,(ニューバランス) New Balance 4040V4 Metal Low メンズ ベースボールシューズ,,,New Balance,Shoes,40401258,,,40401258Royal6.5,10,18,新品,,19662,,,,,exclude cod,,,,,,,,,,,,JP Parallel Import,,,,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,,,2221135051,スポーティー,,,,,,,,,,,,,,,,,,,Child,40401258Royal,Variation,Size,サイズ  24.5cm (US 6.5),24.5cm,Royal,レッド,,,,,,,,,,,,,,,メンズ,,,,,,,,,,,,,,,,,,