TemplateType=sports,Version=2017.0921,上3行は Amazon.com 記入用です。上3行は変更または削除しないでください。.,,,,,,,,出品情報-商品をサイト上で販売可能にする際に必要な項目,,,,,,,,,,,,,,,,,,,,,,,寸法-商品のサイズや重量を入力する項目,,,,,,,,,,,,,商品検索情報-サーチ上で商品を検索されやすくするために必要な項目,,,,,,,,,,,画像-商品画像を表示させるために必要な項目。詳しくは画像説明タブを参照,,,,,,,,,,出荷関連情報-フルフィルメント by Amazon (FBA) の利用、あるいは自社出荷の注文に関する出荷関連情報を、この項目に記入してください。FBA を利用する場合には必須の項目。,,,,,,,バリエーション-商品の色・サイズなどのバリエーションを作成する際に必須の項目,,,,コンプライアンス情報-商品を販売する国または地域の特定商取引に遵守するために利用される項目,,,ProductTypeによって必須となる項目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出品者SKU,商品コード(JANコード等),商品コードのタイプ,商品名,商品説明文,メーカー名,メーカー型番,商品タイプ,ブランド名,アップデート・削除,商品の販売価格,ポイント,商品のコンディション,商品のコンディション説明,在庫数,メーカー希望価格,商品の公開日,予約商品の販売開始日,商品の入荷予定日,出荷作業日数,使用しない支払い方法,セール価格,セール時ポイント,配送日時指定SKUリスト,セール開始日,セール終了日,最大注文個数,ギフトメッセージ,ギフト包装,メーカー製造中止,配送パターン,販売形態(並行輸入品),商品タックスコード,配送重量,配送重量の単位,ラインの巻き容量,リールの直径,リールの直径の単位,高さ,高さの単位,ロッド(棒)の長さ,ロッド(棒)の長さの単位,幅,幅の単位,重量,ロッド(棒)の重量の単位,商品の仕様1,商品の仕様2,商品の仕様3,商品の仕様4,商品の仕様5,推奨ブラウズノード,検索キーワード,対象1,対象2,スタイルキーワード,対象,商品メイン画像URL,カラーサンプル画像URL,商品のサブ画像URL1,商品のサブ画像URL2,商品のサブ画像URL3,商品のサブ画像URL4,商品のサブ画像URL5,商品のサブ画像URL6,商品のサブ画像URL7,商品のサブ画像URL8,フルフィルメントセンターID,商品パッケージの高さ,商品パッケージの幅,商品パッケージの長さ,商品パッケージの長さの単位,商品パッケージの重量,商品パッケージの重量の単位,親子関係の指定,親商品のSKU(商品管理番号),親子関係のタイプ,バリエーションテーマ,安全性に関する注意,原産国,法規上の免責条項,保証,スタイル,カラー,カラーマップ,デザイン,素材,サイズマップ,サイズ,ゴルフクラブのシャフトの硬さ,ゴルフグラブのロフト（クラブフェースの傾斜角度）,グリップのサイズ,グリップのタイプ,グリップの素材タイプ,バイクのリムサイズ,バイクのリムサイズの単位,ホイールサイズ,ホイールサイズの単位,張力（テンション）,釣り糸素材のタイプ,最大の高さ（ピーク）　,容量の単位,レンズの色,ハンド,シャフト(軸)の長さ,シャフト(軸)の長さの単位,シャフト(軸)の素材,形状,対応重量,対応重量の単位,チーム名,魚種,電池付属,電池のタイプ,付属バッテリ個数,リチウム電池エネルギー含有量,リチウム電池パッケージ仕様,リチウム電池ボルト数,リチウム電池重量,配送オプション,席種,オプション
item_sku,external_product_id,external_product_id_type,item_name,product_description,manufacturer,part_number,feed_product_type,brand_name,update_delete,standard_price,standard_price_points,condition_type,condition_note,quantity,list_price,product_site_launch_date,merchant_release_date,restock_date,fulfillment_latency,optional_payment_type_exclusion,sale_price,sale_price_points,delivery_schedule_group_id,sale_from_date,sale_end_date,max_order_quantity,offering_can_be_gift_messaged,offering_can_be_giftwrapped,is_discontinued_by_manufacturer,merchant_shipping_group_name,distribution_designation,product_tax_code,website_shipping_weight,website_shipping_weight_unit_of_measure,volume_capacity_name,item_display_diameter,item_display_diameter_unit_of_measure,item_display_height,item_display_height_unit_of_measure,item_display_length,item_display_length_unit_of_measure,item_display_width,item_display_width_unit_of_measure,item_display_weight,item_display_weight_unit_of_measure,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,recommended_browse_nodes,generic_keywords,target_audience_keywords1,target_audience_keywords2,style_keywords,target_audience_base,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,other_image_url4,other_image_url5,other_image_url6,other_image_url7,other_image_url8,fulfillment_center_id,package_height,package_width,package_length,package_length_unit_of_measure,package_weight,package_weight_unit_of_measure,parent_child,parent_sku,relationship_type,variation_theme,safety_warning,country_of_origin,legal_disclaimer_description,mfg_warranty_description_type,style_name,color_name,color_map,pattern_name,material_type,size_map,size_name,golf_club_flex,golf_club_loft,grip_size,grip_type,grip_material_type,rim_size,rim_size_unit_of_measure,wheel_size,wheel_size_unit_of_measure,tension_level,fishing_line_type,capacity,capacity_unit_of_measure,lens_color,hand_orientation,shaft_length,shaft_length_unit_of_measure,shaft_material,item_shape,display_maximum_weight_recommendation,display_maximum_weight_recommendation_unit_of_measure,team_name,specific_uses_for_product,are_batteries_included,battery_type,number_of_batteries,lithium_battery_energy_content,lithium_battery_packaging,lithium_battery_voltage,lithium_battery_weight,shipping_options,seating_group,option_type
UND01DABlack/Black,,,(アンダーアーマー)Under Armour O Series 6in Boxerjock - 2-Pack メンズ アンダーウェアBlack/Black,,Under Armour,UND01DA,SportingGoods,Under Armour,,,,新品,,,,,,,18,exclude cod,,,,,,,,,,,JP Parallel Import,,,,,,,,,,,,,,,※※１枚目の画像が対象商品の色となります。２枚目以降の画像は色の違う場合もございますが、商品のイメージとして参考にしてください。※※,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,2131627051,,メンズ,レディース,,,http://sukai9682.jp/y_image_bc/UND01DABlackck.jpg,,http://sukai9682.jp/y_image_bc/UND01DAMidniky_1.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_2.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_3.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_4.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_5.jpg,,,,,,,,,,,Parent,,,ColorSize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UND01DABlack/BlackS,,,(アンダーアーマー)Under Armour O Series 6in Boxerjock - 2-Pack メンズ アンダーウェアBlack/Black,,Under Armour,UND01DA,SportingGoods,Under Armour,,8728,,新品,,0,,,,,18,exclude cod,,,,,,,,,,,JP Parallel Import,,,,,,,,,,,,,,,※※１枚目の画像が対象商品の色となります。２枚目以降の画像は色の違う場合もございますが、商品のイメージとして参考にしてください。※※,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,2131627051,,メンズ,レディース,,,http://sukai9682.jp/y_image_bc/UND01DABlackck.jpg,,http://sukai9682.jp/y_image_bc/UND01DAMidniky_1.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_2.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_3.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_4.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_5.jpg,,,,,,,,,,,Child,UND01DABlack/Black,Variation,ColorSize,,,,,,Black/Black,ブラック,,,,日本サイズ  M (US S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UND01DABlack/BlackM,,,(アンダーアーマー)Under Armour O Series 6in Boxerjock - 2-Pack メンズ アンダーウェアBlack/Black,,Under Armour,UND01DA,SportingGoods,Under Armour,,8728,,新品,,0,,,,,18,exclude cod,,,,,,,,,,,JP Parallel Import,,,,,,,,,,,,,,,※※１枚目の画像が対象商品の色となります。２枚目以降の画像は色の違う場合もございますが、商品のイメージとして参考にしてください。※※,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,2131627051,,メンズ,レディース,,,http://sukai9682.jp/y_image_bc/UND01DABlackck.jpg,,http://sukai9682.jp/y_image_bc/UND01DAMidniky_1.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_2.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_3.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_4.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_5.jpg,,,,,,,,,,,Child,UND01DABlack/Black,Variation,ColorSize,,,,,,Black/Black,ブラック,,,,日本サイズ  L (US M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UND01DABlack/BlackL,,,(アンダーアーマー)Under Armour O Series 6in Boxerjock - 2-Pack メンズ アンダーウェアBlack/Black,,Under Armour,UND01DA,SportingGoods,Under Armour,,8728,,新品,,0,,,,,18,exclude cod,,,,,,,,,,,JP Parallel Import,,,,,,,,,,,,,,,※※１枚目の画像が対象商品の色となります。２枚目以降の画像は色の違う場合もございますが、商品のイメージとして参考にしてください。※※,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,2131627051,,メンズ,レディース,,,http://sukai9682.jp/y_image_bc/UND01DABlackck.jpg,,http://sukai9682.jp/y_image_bc/UND01DAMidniky_1.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_2.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_3.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_4.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_5.jpg,,,,,,,,,,,Child,UND01DABlack/Black,Variation,ColorSize,,,,,,Black/Black,ブラック,,,,日本サイズ  LL (US L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UND01DABlack/Red,,,(アンダーアーマー)Under Armour O Series 6in Boxerjock - 2-Pack メンズ アンダーウェアBlack/Red,,Under Armour,UND01DA,SportingGoods,Under Armour,,,,新品,,,,,,,18,exclude cod,,,,,,,,,,,JP Parallel Import,,,,,,,,,,,,,,,※※１枚目の画像が対象商品の色となります。２枚目以降の画像は色の違う場合もございますが、商品のイメージとして参考にしてください。※※,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,2131627051,,メンズ,レディース,,,http://sukai9682.jp/y_image_bc/UND01DABlacked.jpg,,http://sukai9682.jp/y_image_bc/UND01DAMidniky_1.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_2.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_3.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_4.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_5.jpg,,,,,,,,,,,Parent,,,ColorSize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UND01DABlack/RedM,,,(アンダーアーマー)Under Armour O Series 6in Boxerjock - 2-Pack メンズ アンダーウェアBlack/Red,,Under Armour,UND01DA,SportingGoods,Under Armour,,8728,,新品,,0,,,,,18,exclude cod,,,,,,,,,,,JP Parallel Import,,,,,,,,,,,,,,,※※１枚目の画像が対象商品の色となります。２枚目以降の画像は色の違う場合もございますが、商品のイメージとして参考にしてください。※※,当商品はお届けまで２から３週間ほどお時間をいただいております。 アメリカ正規品取扱店からの並行輸入商品となります。,返品、交換につきましては当社規定のポリシーがありますので当社ページのヘルプから事前にご確認下さい。ご注文頂いた場合注意事項をご了承いただいたものと致します。,商品の発送は、日本国内発送またはアメリカからの直送となります。どちらの場合でも必ず追跡番号がある発送方法でお届けいたします。,在庫状況は常に変動しています。また、ご注文後に在庫が確保できない場合もございますので、何卒ご了承ください。,2131627051,,メンズ,レディース,,,http://sukai9682.jp/y_image_bc/UND01DABlacked.jpg,,http://sukai9682.jp/y_image_bc/UND01DAMidniky_1.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_2.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_3.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_4.jpg,http://sukai9682.jp/y_image_bc/UND01DAMidniky_5.jpg,,,,,,,,,,,Child,UND01DABlack/Red,Variation,ColorSize,,,,,,Black/Red,ブラック,,,,日本サイズ  L (US M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
